AAPL R735QTJ8XC9X,AAPL,1,20200930,3363,9729982640,1122726688927,325799391,312312833,649898,6200771376,641098575,1
AIG R735QTJ8XC9X,AIG,1,20200930,651,766586617,21077559065,10563968,18398838,0,494764929,72508312,1
BNO UN3IMQ2JU1YD,BNO,1,20200930,39,8288042,87717888,230500,232700,0,4546672,8048,0
EEM SNQLASP67O85,EEM,1,20200930,1138,420876787,18526481971,175912396,282685743,961076,314112644,32950877,1
GOOCV VP83T1ZUHROL,GOOG,1,20200930,2602,216185603,317064742561,9583404,5812989,1434,141186726,12191671,1
GOOG T1AZ164W5VTX,GOOGL,1,20200930,2830,236576911,334292327815,7831689,7609218,11926,158193673,18783016,1
IBM R735QTJ8XC9X,IBM,1,20200930,1949,497895752,60371980278,10596173,12966876,46773,302447358,40758566,1
IWM RV0PWMLXVHPH,IWM,1,20200930,1514,287457891,42844702558,142418590,306030479,155421,184952514,29591795,1
NB R735QTJ8XC9X,BAC,1,20200930,2048,5894645823,141577395312,124842175,157712018,1388986,4069402932,485120593,1
QQQ RIWIV7K5Z9LX,QQQ,1,20200930,1724,229347747,63553199415,178815074,312562269,104443,104589881,32345398,1
SPY R735QTJ8XC9X,SPY,1,20200930,2471,566883706,197593179599,391937430,568142820,543662,366986262,41754440,1
USO THORT68ZZSYT,USO,1,20200930,186,36121055,1020133410,23671038,39827196,69466,32436364,717495,1
UW R735QTJ8XC9X,WM,1,20200930,1336,302306665,34121333914,1703745,1793995,67896,204474617,18262914,1
