AAPL R735QTJ8XC9X,AAPL,1,20200930,3348,9713973161,1120867020927,325799391,312302433,649898,6186475244,641098575,1
AIG R735QTJ8XC9X,AIG,1,20200930,647,766231601,21067786065,10563968,18398838,0,494409913,72508312,1
BNO UN3IMQ2JU1YD,BNO,1,20200930,39,8288042,87717888,230500,232700,0,4546672,8048,0
EEM SNQLASP67O85,EEM,1,20200930,1131,419967138,18486374971,175912396,282685743,961076,313221172,32950877,1
GOOCV VP83T1ZUHROL,GOOG,1,20200930,2592,215907806,316654226561,9583404,5812989,1434,140920886,12191671,1
GOOG T1AZ164W5VTX,GOOGL,1,20200930,2817,236283166,333861396815,7831689,7609218,11926,157925067,18783016,1
IBM R735QTJ8XC9X,IBM,1,20200930,1940,497161383,60282630278,10596173,12966876,46773,301793356,40758566,1
IWM RV0PWMLXVHPH,IWM,1,20200930,1508,287370068,42831547558,142418590,306030479,155421,184873723,29591795,1
NB R735QTJ8XC9X,BAC,1,20200930,2039,5889159843,141445192312,124842175,157712018,1388986,4063983476,485120593,1
QQQ RIWIV7K5Z9LX,QQQ,1,20200930,1715,229221042,63517666415,178815074,312522269,104443,104501152,32345398,1
SPY R735QTJ8XC9X,SPY,1,20200930,2462,566548934,197480939599,391915330,568101920,543662,366662744,41754440,1
USO THORT68ZZSYT,USO,1,20200930,186,36121055,1020133410,23671038,39827196,69466,32436364,717495,1
UW R735QTJ8XC9X,WM,1,20200930,1326,301970602,34083283914,1703745,1793995,67896,204147099,18262914,1
