AAPL R735QTJ8XC9X,AAPL,2,20200630,3330,2593998975,931156895399.059,62128750,60820416,9515,1618006224,171210197,1,20200930,1942,2413493728,277125289352,7107031,6938841,323322,1915747491,67944880,1
AIG R735QTJ8XC9X,AIG,2,20200630,676,768179661,23961077747,9363225,12100518,0,492064415,74555899,1,20200930,307,188850591,5225975691,663838,1214438,0,163476393,4145177,1
BNO UN3IMQ2JU1YD,BNO,2,20200630,46,9148101,99072832,341600,375300,0,5053228,30000,0,20200930,16,4039083,42489888,10100,3600,0,441164,0,0
EEM SNQLASP67O85,EEM,2,20200630,1096,402276414,16096524604,162866492,266937301,941231,298688854,30555320,1,20200930,611,174296779,7682964827,10984544,8541720,395147,146185308,3421847,1
GOOCV VP83T1ZUHROL,GOOG,2,20200630,2581,224587604,311829979305,3153704,4007761,864,145084500,12179536,1,20200930,1426,47695125,69490051903,10336,13543,1378,39104506,1213678,1
GOOG T1AZ164W5VTX,GOOGL,2,20200630,2811,233475674,327058162860,5357763,5656871,5140,152227084,18129403,1,20200930,1553,54442424,79155715322,109689,59215,4026,44189362,1802598,1
IBM R735QTJ8XC9X,IBM,2,20200630,1949,506133620,60869098152,10227584,12215460,32374,302631960,43346758,1,20200930,1125,144724228,17439563354,206673,190876,14141,112316531,3624605,1
IWM RV0PWMLXVHPH,IWM,2,20200630,1521,296188765,42214674601,163309923,274619253,258484,200044339,23736139,1,20200930,839,101739943,15056316861,5923690,13300321,90100,74885241,10274675,1
NB R735QTJ8XC9X,BAC,2,20200630,2095,5922353148,141163167534.821,107387568,157832032,187805,4005786010,536801725,1,20200930,1149,1143385115,27244754208,12470485,1859040,198346,930613068,34150221,1
QQQ RIWIV7K5Z9LX,QQQ,2,20200630,1652,207867759,51832197977,107813897,213108396,28651,105517438,20820134,1,20200930,968,87206225,24219899650,12425089,9049436,52481,39778485,17897241,1
SPY R735QTJ8XC9X,SPY,2,20200630,2451,584361679,183646124549,369139121,542631260,313306,389655013,40614362,1,20200930,1396,118457318,40070237542,112476862,37446774,416849,67964381,9010671,1
USO THORT68ZZSYT,USO,2,20200630,216,31388051,880062518,37951028,62688308,446,26813779,879630,1,20200930,93,3372023,94949000,2751150,1434420,416,1397449,0,1
UW R735QTJ8XC9X,WM,2,20200630,1325,304456491,32195543671,1541045,1920563,53618,198447769,19384570,1,20200930,728,85129921,9581386241,25145,51495,59906,67534975,1797595,1
