AAPL R735QTJ8XC9X,AAPL,20200930,3303,9703658181,1119672532259,325797091,312145433,649898,6179411006,641098575,1
AIG R735QTJ8XC9X,AIG,20200930,638,765566029,21049454289,10563968,18398838,0,493826192,72508312,1
BNO UN3IMQ2JU1YD,BNO,20200930,39,8288042,87717888,230500,232700,0,4546672,8048,0
EEM SNQLASP67O85,EEM,20200930,1110,418906161,18439585369,175912396,282681143,961076,312649177,32950852,1
GOOCV VP83T1ZUHROL,GOOG,20200930,2545,215668290,316302245923,9583404,5812989,1434,140751761,12183425,1
GOOG T1AZ164W5VTX,GOOGL,20200930,2763,236027490,333486193865,7831689,7593118,11926,157716954,18783016,1
IBM R735QTJ8XC9X,IBM,20200930,1912,496866178,60246670738,10596073,12966776,46773,301619567,40758566,1
IWM RV0PWMLXVHPH,IWM,20200930,1489,286059255,42635199932,142405490,306027979,155421,183747359,29591001,1
NB R735QTJ8XC9X,BAC,20200930,2011,5882994930,141296219471,124841975,157712018,1388986,4058622407,485120593,1
QQQ RIWIV7K5Z9LX,QQQ,20200930,1667,227834664,63132222588,178814774,312438469,104442,104292710,32345398,1
SPY R735QTJ8XC9X,SPY,20200930,2426,564913916,196939092921,391247330,567820720,543662,365825915,41754254,1
USO THORT68ZZSYT,USO,20200930,177,36097008,1019453278,23662538,39827196,69466,32436299,717495,1
UW R735QTJ8XC9X,WM,20200930,1308,301787509,34062555616,1703745,1793995,67896,204025069,18262914,1
