AAPL R735QTJ8XC9X,AAPL,20200630,3323,2593821891,931028543399.059,62056050,60809616,9515,1617836453,171210197,1
AAPL R735QTJ8XC9X,AAPL,20200930,412,87565867,10152043071,14800,3360,0,55685812,6477369,1
AIG R735QTJ8XC9X,AIG,20200630,676,768179661,23961077747,9363225,12100518,0,492064415,74555899,1
AIG R735QTJ8XC9X,AIG,20200930,50,2352876,64773663,532200,1108100,0,2026286,106315,1
BNO UN3IMQ2JU1YD,BNO,20200630,46,9148101,99072832,341600,375300,0,5053228,30000,0
BNO UN3IMQ2JU1YD,BNO,20200930,4,141670,1507888,0,0,0,141642,0,0
EEM SNQLASP67O85,EEM,20200630,1095,402262479,16095967604,162866492,266937301,941231,298688854,30555320,1
EEM SNQLASP67O85,EEM,20200930,119,12409155,547301798,5000,100,0,10532580,39782,1
GOOCV VP83T1ZUHROL,GOOG,20200630,2578,224501641,311708424305,3153704,4007761,864,144998537,12179536,1
GOOCV VP83T1ZUHROL,GOOG,20200930,276,1645069,2417205412,1600,0,0,1157940,149291,1
GOOG T1AZ164W5VTX,GOOGL,20200630,2810,233454986,327028825860,5357763,5656871,5140,152206396,18129403,1
GOOG T1AZ164W5VTX,GOOGL,20200930,311,2751843,4027110083,0,0,0,2006533,489612,1
IBM R735QTJ8XC9X,IBM,20200630,1948,506122832,60867795152,10227584,12215460,32374,302621172,43346758,1
IBM R735QTJ8XC9X,IBM,20200930,241,4131114,502976052,1,0,0,2591105,136164,1
IWM RV0PWMLXVHPH,IWM,20200630,1520,296187000,42214421601,163309923,274619253,258484,200042574,23736139,1
IWM RV0PWMLXVHPH,IWM,20200930,171,9904049,1483616000,0,0,0,7935522,172763,1
NB R735QTJ8XC9X,BAC,20200630,2092,5920326659,141115058534.821,107384568,157707032,187805,4003759522,536801725,1
NB R735QTJ8XC9X,BAC,20200930,230,43126619,1045477448,34200,0,0,25717236,9504159,1
QQQ RIWIV7K5Z9LX,QQQ,20200630,1649,207731917,51329777977,107557897,212857396,28651,105381596,20820134,1
QQQ RIWIV7K5Z9LX,QQQ,20200930,217,10912367,3026829563,20,3856,0,7832181,52618,1
SPY R735QTJ8XC9X,SPY,20200630,2447,584347013,183641602549,369139121,542631260,313306,389643779,40614362,1
SPY R735QTJ8XC9X,SPY,20200930,305,13348859,4470888562,30601,30309,0,8553850,63154,1
USO THORT68ZZSYT,USO,20200630,216,31388051,880062518,37951028,62688308,446,26813779,879630,1
USO THORT68ZZSYT,USO,20200930,24,464083,13128000,450,0,0,405804,0,0
UW R735QTJ8XC9X,WM,20200630,1324,304453563,32195233671,1541045,1920563,53618,198444841,19384570,1
UW R735QTJ8XC9X,WM,20200930,162,4734636,536191311,0,0,53096,3647684,131227,1
