20201006 03:00,1,20200930,1,37,1000,0,0,0,0,0,0
20201007 03:00,1,20200930,5,4406,124000,0,0,0,773,0,0
20201008 03:00,1,20200930,6,4435,125000,0,0,0,802,0,0
20201009 03:00,1,20200930,8,11815,334000,0,0,0,7936,0,0
20201010 03:00,1,20200930,11,36427,1030000,450,0,0,28081,0,0
20201014 03:00,1,20200930,17,83368,2357000,450,0,0,49643,0,0
20201015 03:00,1,20200930,21,439203,12423000,450,0,0,404754,0,0
20201016 03:00,1,20200930,24,464083,13128000,450,0,0,405804,0,0
20201017 03:00,1,20200930,25,464681,13145000,450,0,0,405804,0,0
20201020 03:00,1,20200930,29,472805,13374000,32250,120,0,413832,0,0
20201021 03:00,1,20200930,32,473590,13396000,32250,120,0,413832,0,0
20201022 03:00,1,20200930,35,482492,13648000,32250,120,0,421580,0,0
20201023 03:00,1,20200930,38,510085,14429000,32250,120,0,437866,0,0
20201024 03:00,1,20200930,39,510710,14447000,32250,120,0,438491,0,0
20201027 03:00,1,20200930,44,757021,21415000,36750,120,0,684658,0,0
20201028 03:00,1,20200930,49,856032,24215000,2632750,1434420,0,780031,0,0
20201029 03:00,1,20200930,52,856911,24240000,2689750,1434420,0,780642,0,0
20201030 03:00,1,20200930,55,980643,27741000,2689750,1434420,0,806626,0,0
20201031 03:00,1,20200930,59,987093,27923000,2689750,1434420,416,806626,0,0
20201103 03:00,1,20200930,62,1005774,28451000,2689750,1434420,416,807384,0,0
20201104 03:00,1,20200930,68,1056817,29896000,2709750,1434420,416,810592,0,1
20201105 03:00,1,20200930,72,2287581,64271000,2742150,1434420,416,844922,0,1
20201106 03:00,1,20200930,78,2532546,71200000,2742150,1434420,416,990815,0,1
20201107 03:00,1,20200930,87,2573265,72351000,2742650,1434420,416,1001213,0,1
20201110 03:00,1,20200930,93,3372023,94949000,2751150,1434420,416,1397449,0,1
20201111 03:00,1,20200930,101,3421906,96358590,2751150,1434420,416,1408231,0,1
20201113 03:00,1,20200930,130,6223988,174622278,4662310,1941548,416,3482183,584302,1
20201114 03:00,1,20200930,158,12551111,353323410,8822434,8868420,416,8889941,717430,1
20201117 03:00,1,20200930,179,33782626,953980410,22853426,38616768,69466,30100605,717495,1
20201118 03:00,1,20200930,184,36119919,1020101410,23671038,39827196,69466,32436364,717495,1
20201121 03:00,2,20200331,229,153382774,648188610,50021965,94412340,12640,140040845,3985466,1,20200930,186,36121055,1020133410,23671038,39827196,69466,32436364,717495,1
